card_id,price_radar.suggested,url_back_preprocessed_avif,url_front_preprocessed_avif,diagonal_lines,sparkle_flow,sparkle_palette,rarity,palette_source,rarity_source,sparkle_enabled,sparkle_opacity,sparkle_intensity,sparkle_size,sparkle_speed,sparkle_quantity,shimmer_enabled,shimmer_opacity,shimmer_intensity,shimmer_size,shimmer_speed,price_label_enabled,price_label_font_size,price_label_font_color
S07441-09-00078-12,1.84,https://images.gradientcollects.com/avif/fb8d802324c35236f25738896652af35d1b2583da04dfb2a8a9cf62d50da2b8548fff34e8536c23897cf30bc9a73a6cd6399f150325818274732d15422f302fe.avif,https://images.gradientcollects.com/avif/c238707de4153693cd23098c1c56cb0cbf3e9d6ad6640e2007bedc7afb1705ad16e93be0b9f64c6a0e71bd8fe435f941d537f0b9b3ec3c4a17f95f819088858c.avif,25,25,#c7d7ff|#8ed1ff|#e0f4ff,common,auto,price,1,85,70,50,60,65,1,60,55,40,50,1,11px,#ffffff
S07441-09-00079-12,1.84,https://images.gradientcollects.com/avif/003bbf2e90fcc3a00a38591dda897e169b95d28537b951f2d0163f078d29c1fc1b73645c8cd8d6e6ebfe41d3f16227b0cd74c9b15abcbd170a729fbe4cf1fb21.avif,https://images.gradientcollects.com/avif/5a73b0ec59d3d5b73f6e66267f935fbcb87e5e87ddde987957471f70daf227a6ad964505217ef024994ddd064617d055560752a9d84979fdf7de4c9e4ce286ad.avif,25,25,#c7d7ff|#8ed1ff|#e0f4ff,common,auto,price,1,85,70,50,60,65,1,60,55,40,50,1,11px,#ffffff
S07441-09-00080-12,2.01,https://images.gradientcollects.com/avif/58d063f4fb57566e2c1c5744864448a41814d19c5b9bf93f7bcb2e2af47106a62165e54d0ffbf727ea1691885d47c3956235e94ae7a96205914ab6f63bc83dd7.avif,https://images.gradientcollects.com/avif/6d62a7faa98a9cce9a9a72afffa568768cea7a1ae3d6933d5d62bf1a3c7cf3ecf75121b0e2f88ae4d4530d4596a68bdf268bf0c2a1a408396efd70c6e778c67b.avif,25,25,#c7d7ff|#8ed1ff|#e0f4ff,common,auto,price,1,85,70,50,60,65,1,60,55,40,50,1,11px,#ffffff
S07441-09-00081-12,7.1,https://images.gradientcollects.com/avif/fe137440340a09430b6fdca24b4f8ac403e1bab07233a489de1eeac77714f92b69b788273209750708a55c847e999e8c60864f66c1c9674c60698b93a1bd2467.avif,https://images.gradientcollects.com/avif/723905ba0c077bf76acd420d5338ad13d7c1ad6b38addce62db8088bde5317ebff8795a2eddb34c32c3bc501692e4f42312f887ecbe2532a1573d212425a71a9.avif,25,25,#c7d7ff|#8ed1ff|#e0f4ff,common,auto,price,1,85,70,50,60,65,1,60,55,40,50,1,11px,#ffffff
S07441-09-00082-12,7.1,https://images.gradientcollects.com/avif/bab19b225bc8c5d4495086f95324c8a8cfa5402150dc70b10ec47c2455119aa42cc572535d0dc405ce7591b8a94c5d625613fc0933f51925548804e8847a3eab.avif,https://images.gradientcollects.com/avif/d4c4f64a934e1e698a760e55a80e2a2369c9d7783d43a8fbceab64e6eb72cbcf79d5d742de1287c3679ee35c6499f4f41292e2605bcf857412c13198915e83ca.avif,25,25,#c7d7ff|#8ed1ff|#e0f4ff,common,auto,price,1,85,70,50,60,65,1,60,55,40,50,1,11px,#ffffff
S07441-09-00083-12,7.1,https://images.gradientcollects.com/avif/1bb26f51cbbc6d0f009b6ee81557c87fb3ea8af7deedb5879d6d98f02f67e687fc247945bb41b1c43bd62ed5c442c55dff21661a4fb6a717b955ab1451e25d95.avif,https://images.gradientcollects.com/avif/68a97f5b62f573d1f303f7518b9004e0ee4bde296b6456064c470f200fac8451daeb875dff36676f79c89028e288e3d70e763f8ce64ed904475834eb9de547ef.avif,25,25,#c7d7ff|#8ed1ff|#e0f4ff,common,auto,price,1,85,70,50,60,65,1,60,55,40,50,1,11px,#ffffff
S07441-09-00086-12,0.54,https://images.gradientcollects.com/avif/8dd1555004cf595aec9272d05a583dcc906f213495675d2a7d3810c29255e1762f4b6c862083434bdff507b985c6979567203bd215441109a704ad8123c03e7c.avif,https://images.gradientcollects.com/avif/5d0388868ec4faa8dec8473b8a1ea3b9232a5858d08f75280dc7bcb61b5c85486142cb87b55138ea6f342ea54747bed2882502c83b8b7e8714f815b13c0793ea.avif,25,25,#c7d7ff|#8ed1ff|#e0f4ff,common,auto,price,1,85,70,50,60,65,1,60,55,40,50,1,11px,#ffffff
S07441-09-00001-12,0.64,https://images.gradientcollects.com/avif/66e15ee1c520da1640c413e38cbd802c06bbb0513f0c892b4351a01b0d061c49718725662fe50f40efed9c520ba4d600fbd5af953fd434d86908d604034bf18b.avif,https://images.gradientcollects.com/avif/9c6be0b211f935690e2d54be2cb2f39b5f88d5abc6e66fd967bcd0e298d20f275c9e5e4428df7892762f05954475f1bab5dfe8b0bbdf46344bcf7ea507b43049.avif,25,25,#c7d7ff|#8ed1ff|#e0f4ff,common,auto,price,1,85,70,50,60,65,1,60,55,40,50,1,11px,#ffffff
S07441-09-00002-12,8.41,https://images.gradientcollects.com/avif/4089ba809bbf52af0f1babc11c9f2678f6525c8fda80c10ad1ae02242ccdb94b70c141a5dab0d35563d3fd59b0e96b5b6058dc483983f2b9f96cea210a85d8fb.avif,https://images.gradientcollects.com/avif/c8ff7f4f98caaf4c6b37521ddb993e215dd7783a02ada21d689d7da6d06a9cbab45fe2a31acf4d73c91cd9ed7231ebe4adfbb67ef8a16dffcff33ca61deff490.avif,25,25,#c7d7ff|#8ed1ff|#e0f4ff,common,auto,price,1,85,70,50,60,65,1,60,55,40,50,1,11px,#ffffff
S07441-09-00007-12,0.42,https://images.gradientcollects.com/avif/f9be68154df6895d995c91e17a46ac44ec683e6dfeafed907a4d7b0f3f0c721526de9864bef22ed4d53a0c46545abb21eb77e551e6a95071aca5e9a173eae9d1.avif,https://images.gradientcollects.com/avif/3bfc19cc1218e3a7a8d432ab5e9fd8bc666ea136cda218fbab26801c50258ed8f53fcabfb3fd51011e4b41fcc6fff3bb948f54868dd4473e3ae9e3d0e50657b5.avif,25,25,#c7d7ff|#8ed1ff|#e0f4ff,common,auto,price,1,85,70,50,60,65,1,60,55,40,50,1,11px,#ffffff
S07441-09-00006-12,4.1,https://images.gradientcollects.com/avif/683a19d39ac1a1be3a4558c9f9a195895dc19181f69bfdc21e1b43c7fd194fdff24cc4625eff14ee30c98ba20d0c83768c0add022f4f7f1875db1652b93e23f6.avif,https://images.gradientcollects.com/avif/fc4a1e00a7a60e632d7ddb70c15ce3f1947c3570b736d25f27d8626e2aafa476f3e170babf3490f15069497a50d06f92ed9920db6636ccb22b95fffe5beb32cc.avif,25,25,#c7d7ff|#8ed1ff|#e0f4ff,common,auto,price,1,85,70,50,60,65,1,60,55,40,50,1,11px,#ffffff
